categoryid,parentid
1016,213.0
809,169.0
570,9.0
1691,885.0
536,1691.0
231,
542,378.0
1146,542.0
1140,542.0
1479,1537.0
83,1621.0
688,893.0
257,312.0
1640,622.0
963,1281.0
412,1110.0
948,1110.0
934,1110.0
148,1110.0
12,1110.0
1459,1604.0
1039,1604.0
877,1604.0
28,1604.0
912,945.0
600,768.0
177,768.0
344,768.0
419,229.0
192,1181.0
1099,711.0
1212,711.0
527,73.0
1653,393.0
7,250.0
1252,250.0
874,1420.0
1122,1420.0
88,1101.0
365,1424.0
1587,1215.0
91,1215.0
1436,313.0
1185,583.0
1517,71.0
1159,71.0
1689,71.0
582,590.0
1309,590.0
632,590.0
259,71.0
454,71.0
1334,1550.0
237,1550.0
890,1550.0
915,1550.0
63,1550.0
898,763.0
840,488.0
1166,763.0
1194,763.0
232,763.0
824,232.0
1683,232.0
855,1591.0
800,383.0
1609,383.0
949,1591.0
1115,949.0
817,949.0
981,949.0
298,949.0
397,8.0
1230,8.0
681,8.0
1369,880.0
935,322.0
965,666.0
1242,1291.0
186,865.0
595,186.0
31,336.0
1381,336.0
1000,92.0
210,585.0
178,399.0
309,178.0
483,178.0
1682,399.0
701,1682.0
1551,1682.0
667,777.0
932,777.0
122,520.0
748,781.0
201,1453.0
614,571.0
757,252.0
717,866.0
428,1669.0
1217,630.0
556,1370.0
1379,609.0
1321,1618.0
1380,1618.0
1268,378.0
102,351.0
21,351.0
1570,351.0
1633,351.0
119,351.0
1457,1486.0
1414,854.0
128,945.0
303,945.0
909,1229.0
534,1009.0
1427,1259.0
1444,1490.0
740,1444.0
732,593.0
1547,732.0
458,732.0
136,732.0
601,732.0
418,1394.0
697,418.0
108,1687.0
1512,1687.0
32,1687.0
294,1687.0
68,1687.0
443,1687.0
906,1687.0
922,1687.0
79,1687.0
1044,1687.0
733,1687.0
853,1687.0
403,1687.0
1264,1687.0
1262,1658.0
41,1658.0
1612,216.0
698,1251.0
988,727.0
810,378.0
1172,810.0
606,810.0
967,378.0
604,894.0
1341,480.0
480,1299.0
1535,727.0
1513,1416.0
776,727.0
1537,727.0
81,1537.0
144,561.0
463,250.0
1621,395.0
1257,395.0
893,1615.0
75,893.0
751,893.0
1183,893.0
36,893.0
408,654.0
498,506.0
1129,900.0
578,1278.0
558,92.0
637,92.0
437,92.0
1610,92.0
607,312.0
1251,312.0
1087,622.0
718,622.0
1080,1281.0
297,312.0
540,140.0
1110,653.0
115,1110.0
1330,1110.0
94,1330.0
17,1604.0
962,945.0
1596,653.0
907,768.0
1562,351.0
351,653.0
782,1562.0
1447,351.0
1124,351.0
1270,351.0
1026,351.0
199,351.0
9,351.0
1295,9.0
1263,1637.0
386,1095.0
805,384.0
1173,805.0
792,805.0
1347,1458.0
445,1308.0
725,1519.0
589,1308.0
84,1308.0
1048,1308.0
1329,1519.0
1417,1329.0
1549,1329.0
149,1519.0
497,149.0
46,1519.0
597,1329.0
1239,351.0
610,1239.0
862,1667.0
1393,1383.0
469,1383.0
191,1383.0
183,540.0
16,585.0
860,1515.0
1368,540.0
1659,825.0
1178,540.0
1228,121.0
325,540.0
1645,1534.0
579,1371.0
1511,409.0
1486,140.0
131,1486.0
539,131.0
315,131.0
369,1486.0
802,369.0
1324,1181.0
856,1181.0
1314,1181.0
1499,351.0
895,1499.0
711,1486.0
1378,322.0
364,711.0
886,1486.0
1553,886.0
156,886.0
1023,886.0
1311,140.0
799,920.0
984,827.0
1616,827.0
1487,920.0
777,920.0
643,346.0
1265,1136.0
897,61.0
1098,897.0
1540,897.0
531,1058.0
845,1430.0
396,164.0
317,314.0
57,314.0
392,1202.0
293,1532.0
65,293.0
1445,293.0
986,1532.0
1171,938.0
330,986.0
562,986.0
1076,986.0
517,206.0
58,766.0
533,1299.0
416,1299.0
1492,107.0
450,1492.0
1409,1174.0
1174,107.0
360,1174.0
1038,1174.0
89,937.0
86,937.0
1266,293.0
801,766.0
1083,594.0
1376,480.0
290,207.0
333,1497.0
806,1497.0
56,1497.0
543,250.0
1116,1497.0
1188,1497.0
658,506.0
308,658.0
514,188.0
1130,1323.0
1323,1200.0
1396,1200.0
588,1396.0
1399,1396.0
1031,1200.0
516,1031.0
109,1031.0
746,1200.0
90,1156.0
1306,947.0
821,1012.0
1356,1306.0
1012,500.0
1576,1012.0
1395,1012.0
1068,947.0
914,226.0
1431,1066.0
457,250.0
678,250.0
1674,1420.0
538,1420.0
1365,538.0
1036,1420.0
708,1101.0
1424,679.0
421,1424.0
1139,679.0
310,1139.0
1143,1424.0
511,724.0
553,1424.0
1008,1424.0
992,1008.0
245,1424.0
1231,901.0
368,901.0
1454,1596.0
844,1458.0
815,1027.0
1113,1145.0
324,1145.0
1043,226.0
50,312.0
127,312.0
1253,127.0
1047,127.0
652,127.0
1456,127.0
884,127.0
484,127.0
1300,127.0
352,859.0
590,71.0
77,590.0
1453,71.0
1193,1453.0
526,1453.0
359,1579.0
1550,359.0
1675,1550.0
475,1550.0
763,1579.0
488,763.0
726,488.0
608,763.0
1468,1136.0
1591,1579.0
910,1591.0
925,1591.0
918,383.0
1460,1591.0
989,1579.0
843,880.0
1029,1181.0
1559,989.0
1094,131.0
1524,1559.0
1232,1559.0
322,1486.0
234,322.0
649,696.0
666,989.0
211,666.0
415,666.0
468,666.0
1211,989.0
78,1211.0
865,1579.0
194,865.0
863,194.0
1175,865.0
1536,1175.0
729,1175.0
1518,865.0
842,1518.0
436,1518.0
829,1518.0
1651,1579.0
1223,1651.0
1283,1651.0
1590,336.0
1632,885.0
1478,1632.0
1433,312.0
2,312.0
1169,92.0
1681,568.0
1514,920.0
1630,663.0
399,663.0
693,1630.0
453,1630.0
1075,399.0
1025,1075.0
521,654.0
705,1487.0
775,763.0
998,653.0
1485,250.0
22,1550.0
1666,1684.0
818,852.0
1606,1684.0
683,1606.0
520,1606.0
873,520.0
676,479.0
875,479.0
876,580.0
1073,580.0
1179,580.0
1207,580.0
942,125.0
1220,125.0
1273,125.0
426,872.0
268,138.0
1575,138.0
944,950.0
569,426.0
1625,1141.0
1141,55.0
969,1141.0
1236,1141.0
406,872.0
1107,1600.0
1041,1313.0
394,1041.0
1413,1313.0
1033,571.0
571,1107.0
465,571.0
804,187.0
187,1313.0
997,187.0
1053,187.0
1392,1041.0
1243,1107.0
684,1041.0
216,1107.0
783,216.0
1088,287.0
425,55.0
23,640.0
1677,896.0
1111,835.0
1322,252.0
252,872.0
1091,573.0
493,1331.0
1018,1331.0
789,14.0
1573,14.0
1117,14.0
1184,14.0
892,14.0
1635,866.0
866,803.0
93,866.0
888,866.0
964,1326.0
1326,803.0
1614,1326.0
51,955.0
1086,250.0
213,1299.0
772,213.0
692,213.0
1669,250.0
1440,1669.0
779,1669.0
814,1669.0
1560,293.0
1662,630.0
630,679.0
752,630.0
1385,1202.0
797,213.0
764,1370.0
1370,1107.0
836,1370.0
448,609.0
609,1107.0
787,609.0
1451,609.0
505,334.0
379,334.0
135,1618.0
544,1168.0
1168,736.0
723,995.0
1631,657.0
169,1257.0
1004,169.0
1498,580.0
504,378.0
327,92.0
1234,92.0
1340,101.0
979,1383.0
774,620.0
634,226.0
677,226.0
438,312.0
661,127.0
730,1482.0
228,1482.0
593,1482.0
1472,605.0
0,605.0
927,605.0
1578,1249.0
1249,1482.0
972,1249.0
1555,1249.0
1221,1426.0
1426,1482.0
1528,1426.0
292,1426.0
987,1426.0
242,1531.0
911,1531.0
703,1531.0
1663,1398.0
1398,1482.0
277,1398.0
1480,1398.0
1,854.0
854,1482.0
1286,854.0
320,854.0
225,593.0
1247,593.0
1429,593.0
545,143.0
263,143.0
366,143.0
921,143.0
270,143.0
936,143.0
1037,402.0
1165,402.0
879,1482.0
1256,879.0
1320,879.0
956,879.0
1697,623.0
1237,623.0
529,623.0
220,795.0
970,275.0
710,605.0
398,1323.0
1695,250.0
1246,945.0
1001,945.0
1052,945.0
1404,593.0
451,945.0
1567,1531.0
1082,866.0
163,945.0
153,1331.0
791,
587,791.0
769,587.0
1680,587.0
1255,587.0
1362,587.0
1161,587.0
1423,791.0
1250,1423.0
1405,1423.0
759,1423.0
155,1423.0
1070,1423.0
227,602.0
1133,602.0
1533,602.0
1229,791.0
870,1229.0
1019,1229.0
461,1229.0
765,1229.0
433,1229.0
1410,1495.0
1358,1009.0
198,1009.0
501,1009.0
1556,1009.0
741,362.0
508,362.0
512,362.0
1432,362.0
1069,362.0
1577,362.0
598,362.0
492,362.0
952,362.0
350,362.0
111,362.0
518,362.0
1061,1259.0
1259,431.0
389,1259.0
166,1259.0
996,1259.0
1271,1259.0
472,1259.0
1408,1259.0
882,1259.0
