visitorid,cluster
393434,1
1079581,1
1164062,1
1050626,1
799313,3
971428,1
1050313,1
741967,1
395763,1
406019,1
609400,1
1018843,0
160375,1
517220,1
918825,1
165293,1
375776,0
1315906,0
698699,1
79605,1
1032120,1
800917,1
468250,0
1186454,1
1368128,1
189419,1
380466,1
403744,0
193512,1
32245,1
732588,1
1121655,1
64575,1
1311280,1
1300257,0
1135978,0
547078,0
1155061,1
250571,1
88980,1
1322757,1
137578,0
629192,1
245293,3
710355,1
758251,1
120859,1
932073,0
1050637,0
652949,3
897256,0
739064,0
1326039,1
1310117,1
963246,1
281731,1
459628,0
299320,0
388890,1
85201,2
1153094,1
31163,1
309769,1
202760,1
483601,1
963757,1
1095776,1
1130676,1
1080947,1
1004994,1
986429,1
1144021,1
109128,1
46182,1
402124,3
14054,1
1262735,1
678962,1
286799,1
454973,0
1209300,0
1319393,1
242422,1
475094,1
615650,1
36712,1
677773,1
52317,1
917279,1
193695,1
761047,1
1153119,1
951866,1
995248,1
792814,1
345288,1
866961,1
83425,1
1019652,1
1058213,2
926798,1
1283679,1
1102431,1
227174,1
1343788,1
206223,1
394774,1
773224,1
189102,1
472850,1
876434,0
966772,1
91708,1
1276444,0
542991,1
989478,1
893996,3
1022573,1
41575,0
117436,3
291063,1
148615,1
1335361,1
606602,1
1080214,1
168251,1
1119145,0
890471,0
1338624,1
188343,1
1211822,1
1140156,1
1274966,1
49105,1
464797,1
156880,1
367677,1
689447,1
172711,1
475098,1
466203,1
293051,3
1244367,1
378982,0
415813,3
152543,1
191226,1
1334828,1
75975,1
459805,0
720935,0
11984,1
804456,0
138575,1
1379069,1
702474,0
904410,1
145939,0
281939,0
1231680,1
287297,0
591495,1
101140,1
570988,0
1198104,0
314854,0
325178,1
126458,1
1298088,1
112395,1
785990,1
1287642,1
573466,3
581051,1
1240903,1
1230549,1
722990,2
831750,1
537352,1
338079,1
1266624,0
509019,1
465958,1
875038,1
520444,1
361366,1
651768,1
360120,1
1213400,1
1268614,1
439589,0
1143968,1
86179,1
789401,1
1378177,0
659715,1
87313,0
11161,0
897442,1
896066,2
1216258,1
665625,1
273406,2
1110408,1
501825,1
1169296,1
728652,1
628305,3
931506,1
253924,1
1154126,1
168678,0
323140,1
926410,1
603059,1
838537,1
646273,1
591366,1
349562,1
1319258,1
582638,1
595352,1
765478,1
1017216,0
714529,1
320109,1
518663,0
770619,1
18437,0
